PERMCO,GVKEY,companyid
9848,14960,18319
21075,6534,18320
14722,22207,18329
35227,123097,18335
21080,6547,18343
12986,30016,18346
16001,66300,18348
44900,6557,18371
18304,109621,18378
15657,18732,18379
8549,12597,18380
16368,117036,18381
14873,63422,18385
21081,6571,18404
2600,6573,18410
2689,6574,18411
21714,14169,18420
12951,29946,18424
12369,28765,18429
28858,21440,18435
43014,22632,18445
38439,138467,18449
14535,62666,18450
38438,138705,18457
34722,109926,18471
10394,18100,18488
10359,16597,18515
2612,6617,18536
42542,144135,18537
11677,25680,18539
12319,33998,18577
14191,61662,18599
14030,61398,18615
21090,6639,18625
21092,6653,18646
2636,6649,18648
21095,6669,18703
35177,122380,18705
21097,6682,18739
16033,13440,18745
37167,133868,18767
30004,29052,18770
31197,61552,18774
29883,28462,18794
20853,14714,18802
50975,174470,18804
21099,6707,18805
41998,174147,18817
30429,30354,18819
11365,24982,18845
7253,3916,18846
6220,6722,18851
16517,120297,18856
10959,24099,18861
10059,15087,18862
11806,25937,18868
14984,63663,18870
14385,62217,18876
2664,6733,18892
11416,25062,18898
16363,117019,18900
27454,6737,18901
21105,6742,18908
9971,14954,18922
8220,12216,18926
31799,64048,18928
16862,123016,18958
34913,28378,18962
15243,64175,18989
11709,25747,18993
37168,133869,19006
7705,12789,19035
21110,6774,19048
29555,9614,19054
21111,6781,19065
9998,14938,19071
42268,145809,19076
15743,65550,19077
11397,25025,19124
7572,6797,19125
2645,6803,19141
50000,62640,19157
41390,141957,19174
21121,6821,19181
8857,12944,19195
7702,16910,19206
5292,6532,19240
21123,6830,19243
2728,6831,19244
31614,62599,19249
12528,29107,19252
10783,6836,19259
18709,133504,19270
2736,6845,19308
22011,15110,19320
30905,60887,19331
32116,65630,19356
17665,107325,19359
2743,6908,19363
56071,137609,19364
30362,29868,19369
30458,30637,19381
13948,61212,19384
12667,29381,19395
35272,29627,19403
25268,2940,19429
3021,30241,19431
42391,143668,19438
22080,12581,19445
13318,30685,19463
15424,63486,19478
34787,112035,19541
17410,126496,19547
8607,12620,19551
20455,3063,19557
16065,109826,19569
2767,6994,19580
16415,112968,19581
29110,24607,19588
20312,14370,19589
29758,27875,19596
12359,28744,19599
35276,124042,19601
12812,29661,19608
3031,7022,19630
41257,142546,19657
34788,111103,19660
21155,13572,19672
8811,12909,19677
15022,63742,19696
30005,28930,19706
2777,7066,19714
12604,29278,19719
8600,12625,19722
36347,125237,19724
30260,29733,19739
30853,31554,19748
37731,137310,19750
21161,7085,19758
8197,16924,19770
20745,141400,19772
21162,14739,19775
21986,15384,19776
678,2497,19778
21163,7106,19793
10533,21244,19801
10758,23195,19810
18330,132405,19814
21168,7116,19820
13210,30477,19823
13337,30710,19826
2784,7117,19831
29001,23774,19839
6443,7132,19847
2785,7121,19851
9698,14256,19863
31693,63246,19865
32004,64901,19869
7680,7123,19873
7786,12110,19876
5866,7124,19880
17524,127481,19887
21172,7127,19888
9641,16926,19892
21173,7139,19899
2801,7146,19939
38440,138607,19940
21177,7154,19944
7301,7161,19952
13097,30234,19977
15429,64595,20006
14058,61425,20007
31198,61589,20008
8268,12236,20014
13755,60796,20026
14648,62919,20035
11107,24449,20036
10990,24191,20037
41817,143605,20041
21183,30950,20064
32099,65670,20074
17931,129442,20076
15296,64319,20081
35178,23964,20098
10535,21186,20122
12740,29517,20133
10925,24008,20139
37729,136307,20152
11066,24378,20168
7235,12091,20184
14118,61527,20187
2968,7238,20229
15056,63812,20235
7465,7245,20240
6791,7251,20254
35205,65689,20270
3029,7253,20271
9868,14563,20276
7724,16929,20282
8757,13532,20284
15939,66393,20291
7863,17035,20292
12522,29095,20294
21189,7260,20302
15932,66630,20305
8441,12433,20311
21738,12046,20318
34835,113439,20326
10512,21777,20328
20642,14790,20330
13106,30247,20334
21190,7267,20349
16259,113367,20364
5668,7268,20365
6883,7275,20376
6121,7278,20379
21194,7279,20380
21195,14064,20388
3023,7281,20389
8442,12434,20399
17398,126597,20415
2881,7291,20423
37138,133768,20426
11342,24922,20431
15081,63870,20435
14926,63525,20444
16351,116791,20449
13339,30718,20455
15349,64404,20465
32158,65772,20478
14557,62698,20484
13462,31147,20545
13371,30789,20553
12027,27965,20566
34996,118126,20570
15970,66468,20585
7065,7343,20589
9749,14417,20591
2829,7331,20597
3047,7346,20600
8048,12141,20601
16149,111534,20604
38470,135805,20609
14931,63531,20610
10511,20158,20616
32185,66288,20621
34636,66438,20630
9375,13570,20636
3048,7368,20638
21202,7369,20644
29811,28152,20648
16209,65069,20650
30947,61339,20662
8017,11934,20681
14097,61496,20693
14594,62784,20712
13240,30558,20719
2949,7401,20721
2925,7409,20727
30390,30072,20729
14905,35543,20738
29610,25870,20757
44979,22650,20764
6521,7430,20772
21205,7435,20777
50187,140033,20808
11304,24890,20819
13487,31214,20838
13031,30121,20876
12859,29734,20917
37730,137434,20928
16074,66723,20932
7093,7486,20950
11446,25119,20964
18697,133430,20966
2991,7506,20972
12339,28704,20989
12191,28403,21001
2994,19054,21015
44058,116531,21016
11052,24350,21027
41558,62224,21029
40148,140760,21032
12645,29342,21054
20610,139665,21071
21219,7549,21072
21224,12124,21105
50318,25334,21131
31581,62225,21146
21230,7585,21174
14579,26189,21188
27626,7951,21196
22807,15343,21279
9459,13782,21293
14641,62107,21305
21236,7620,21371
3102,7636,21423
14031,61399,21434
3133,33114,21450
20201,1661,21454
21247,7938,21455
16049,109425,21488
7317,126423,21489
15858,65937,21490
5253,7685,21497
13236,31689,21501
15933,66235,21503
5980,7691,21513
21250,7692,21515
36614,128759,21520
11980,7696,21526
17469,25481,21531
3157,7711,21537
12708,29461,21539
31769,63892,21553
6523,17070,21554
3262,17072,21558
31938,64621,21571
20301,13124,21572
11111,24463,21580
3143,13054,21585
21255,7733,21593
34637,107528,21596
21256,7741,21597
29106,24533,21599
6676,11832,21601
13617,31607,21606
31715,63461,21625
15751,65587,21629
21261,7772,21635
3276,7781,21638
3305,17073,21642
16224,112720,21645
13796,60911,21654
250,7799,21659
41813,144436,21662
12694,29433,21669
15019,63724,21677
8314,17074,21679
17215,125358,21683
21265,6081,21684
37139,121199,21691
11454,25130,21705
3161,7723,21717
14977,63650,21752
10288,16453,21756
15389,64485,21758
9902,14622,21768
14381,62170,21769
13595,28078,21773
52671,144382,21777
6744,7817,21795
16680,122358,21816
37733,137435,21834
44176,154039,21838
16685,122436,21849
12413,28881,21855
17488,127279,21870
16758,122902,21875
14899,63474,21878
17664,107446,21879
44280,111169,21888
14152,61591,21903
11735,25783,21904
37948,137641,21909
8908,13011,21910
12854,29729,21927
14659,62921,21929
10321,19069,21930
3435,8266,21940
3139,7828,21955
15967,62088,21973
8217,17076,21980
29941,7852,22001
7922,18290,22003
12608,29282,22029
3178,7875,22048
30044,29173,22049
8005,17081,22067
21286,7881,22069
24025,7882,22071
3179,7883,22073
579,8060,22092
20386,2697,22100
37171,34709,22105
18305,130766,22121
15909,65365,22179
21293,7904,22188
3194,7906,22209
21244,7974,22260
12867,29746,22298
6175,12855,22310
3218,7911,22311
3219,7912,22312
3160,7921,22404
3217,7922,22406
21294,7923,22412
29244,3962,22448
21301,7980,22451
13295,30646,22467
27575,7964,22474
16041,63814,22481
9438,16689,22486
3275,7982,22509
21302,7984,22515
28947,23450,22520
21303,7985,22521
12934,7672,22530
13413,30932,22531
14175,61635,22535
3309,8001,22537
15993,66155,22545
34847,8009,22559
16807,123017,22576
15794,65738,22577
15310,64340,22587
40996,141178,22588
31389,61655,22589
7383,11910,22592
9903,14623,22593
10000,14918,22595
5949,3116,22600
35233,2328,22646
21299,7970,22660
3306,7993,22667
11101,38496,22670
6021,8017,22677
31802,64028,22679
21308,8030,22688
12901,30029,22703
15979,66496,22725
37746,31227,22730
29078,24476,22751
21312,14747,22767
36352,125527,22795
16382,117768,22806
11568,25359,22825
12249,26523,22826
21274,7850,22836
14042,61688,22847
30936,61151,22857
21322,8068,22899
4262,8073,22905
46008,161798,22912
3326,8079,22915
14795,63232,22916
34751,110566,22927
14969,63639,22934
42269,141847,22949
44608,65374,22951
41681,143073,22953
9798,14624,22965
3324,14827,22989
43786,151606,22992
14355,19137,22997
3348,8105,23015
41259,142260,23017
3366,8109,23021
11161,24617,23040
7067,17095,23049
3363,14828,23052
12561,19150,23053
21329,8123,23061
12908,29870,23082
11457,19156,23091
29554,25633,23092
15875,65973,23104
3379,8133,23111
41980,142956,23112
1367,4066,23113
37949,137704,23124
35278,124254,23125
15642,65242,23129
11713,25749,23131
37176,134932,23134
35162,115554,23138
5941,8148,23149
16364,117020,23161
16565,121080,23188
18329,132482,23203
14603,62826,23208
44626,113225,23226
14305,61870,23228
17413,126734,23232
16581,121257,23233
12511,29075,23242
40210,140030,23243
38446,138402,23244
3392,8162,23256
14498,62553,23260
40997,141007,23261
11467,25168,23287
8045,12142,23295
8743,12915,23317
3396,8176,23324
10566,21496,23327
37520,135004,23337
21339,14384,23348
11486,28380,23423
11922,27765,23424
38475,117142,23426
7765,11721,23438
10988,24198,23453
3418,8199,23477
10900,23948,23483
3321,8213,23505
51337,8214,23506
21348,8219,23520
15841,65896,23537
16331,116503,23546
3487,8253,23563
43256,113140,23569
22004,14974,23571
21354,14752,23574
14615,23553,23580
37737,121381,23608
23511,128978,23635
16676,122360,23640
36357,125533,23645
17312,125860,23646
37952,137642,23660
12516,29086,23670
21360,8304,23673
18342,132502,23678
11874,26038,23681
10369,17105,23689
13771,20670,23691
32061,65251,23701
15479,61340,23711
42001,11781,23716
10968,24113,23727
11270,19433,23730
31507,31392,23743
5708,8334,23761
16652,122099,23775
3599,8341,23784
14165,61600,23799
14894,63467,23815
21365,8348,23817
10743,19318,23823
3588,8350,23824
34953,116857,23826
21367,8358,23834
12624,29332,23835
9351,16985,23840
8995,13163,23846
14471,62491,23873
15490,62123,23895
39173,29846,23899
3466,8386,23912
13294,30647,23921
11778,25880,23926
12530,29108,23927
15780,65680,23932
3443,8293,23940
6333,8402,23945
31616,62667,23949
15994,66586,23961
17208,125014,23985
35182,122116,23999
41007,107817,24009
38450,138901,24021
13126,30283,24024
13979,61325,24025
14970,63640,24030
15636,65236,24039
14828,63290,24040
36377,126140,24045
38452,138610,24053
6893,11748,24063
13115,30259,24071
14183,61296,24072
42284,175510,24076
13208,30467,24084
11636,19152,24085
42396,19159,24094
13291,30640,24096
16262,113533,24114
13137,28185,24125
18710,133506,24133
21382,8470,24135
37522,112254,24137
11479,25173,24138
21383,8475,24145
35014,119417,24149
20953,5824,24150
21384,8479,24151
11139,24531,24155
11679,25676,24158
9899,14603,24165
16678,122394,24173
14308,61903,24176
15791,65739,24179
21385,8486,24180
20616,4145,24183
11830,25979,24190
35003,118003,24197
15718,65491,24226
44816,65406,24241
21392,14753,24265
12305,28648,24284
21394,8530,24296
17473,126718,24300
14188,61656,24320
14073,61448,24321
6267,12757,24331
6638,6308,24333
22806,8536,24335
21397,8542,24338
21398,8543,24343
53113,25030,24365
9819,14626,24377
5761,170307,24397
14130,61560,24398
9010,13200,24404
21404,8577,24439
39139,62768,24484
43147,139025,24487
13417,30946,24492
21409,1075,24493
13735,14380,24501
4202,9835,24502
21366,14359,24506
44721,8605,24515
21411,8606,24531
21413,8611,24536
37524,135044,24549
12384,3369,24551
21416,8626,24558
34920,116029,24561
12693,29435,24569
14170,61610,24579
30106,8633,24591
11880,26044,24610
30107,14470,24624
7980,12945,24637
17303,125604,24645
22076,15709,24646
46694,62139,24648
3625,8655,24685
15346,64402,24691
21425,14311,24706
32009,64891,24726
14567,62730,24733
26242,8666,24735
11382,25000,24739
39140,28194,24748
11453,25132,24753
15210,64102,24764
16513,120300,24782
21430,12428,24789
3637,8687,24806
29928,28608,24808
21431,8692,24837
21432,8694,24840
3642,8699,24848
15890,66032,24856
15736,65554,24860
15207,64103,24877
37183,134685,24899
3649,8716,24909
17964,129632,24915
3499,8717,24926
42114,19305,24941
15009,63699,24955
14633,62895,24960
31770,63815,24982
3597,14820,24987
10144,15347,24994
8087,12138,25020
16454,119314,25022
15678,65343,25025
9921,14908,25028
27836,13071,25059
29559,27882,25060
2577,6311,25061
11508,25236,25083
42285,145701,25087
3719,8759,25096
15777,65681,25098
16624,121816,25116
11103,24440,25131
21446,8762,25150
15832,65872,25188
13852,61028,25191
20397,2783,25193
11050,24352,25195
3682,13341,25199
16313,115876,25277
13340,30720,25286
3684,8789,25287
9630,17030,25299
9444,13798,25306
16374,117161,25310
14778,63178,25312
32010,2731,25318
15961,66435,25320
42524,143356,25332
13049,30161,25362
8909,13733,25363
14408,62317,25369
21458,8810,25378
4289,10096,25380
21461,8818,25391
13061,30188,25395
35016,12827,25399
21349,8823,25407
15205,64099,25410
3500,8826,25422
10142,15242,25452
14229,61719,25458
12884,29791,25490
26130,15467,25506
15028,63758,25512
3741,8850,25523
11253,24800,25529
5703,8858,25539
37739,133949,25541
34660,66446,25544
30812,25291,25566
31838,64166,25578
16762,122921,25582
21476,8873,25583
11786,25906,25584
17202,65036,25594
10827,7526,25598
15580,31418,25600
8492,12519,25617
3757,8881,25619
16696,122520,25627
17963,129851,25628
10855,23753,25634
15523,64896,25648
59441,38477,25654
29602,25895,25658
15338,64383,25661
16512,120301,25670
15847,65803,25674
14070,61439,25680
6629,8925,25686
11792,25921,25699
37933,137881,25708
31929,29942,25722
15471,64766,25728
11964,28206,25741
3771,19605,25745
2706,6788,25756
3781,8958,25801
6137,8898,25808
30265,5862,25811
21491,8964,25813
21492,8972,25815
26027,20783,25838
15843,65899,25860
30500,30822,25864
30890,31858,25874
16753,122841,25895
16533,120595,25902
45295,112112,25905
13945,61192,25908
13912,61129,25921
7662,9004,25922
3818,9013,25932
3840,9016,25944
30011,29099,25951
10876,23812,25954
10997,24219,25986
29863,28216,25995
30474,30671,26008
29794,27906,26014
14810,63252,26028
15716,65474,26044
14343,62036,26047
13524,31460,26061
8738,12815,26073
12356,28737,26074
8135,12181,26081
9999,18040,26088
34838,112168,26097
11852,26004,26099
8377,12377,26103
16396,65986,26104
13753,31887,26113
5327,9083,26118
41062,141359,26124
9777,14385,26128
17397,126599,26144
41584,143526,26147
12517,2521,26155
23373,62290,26166
7135,1864,26170
3835,9112,26178
14522,62632,26232
6533,9125,26243
14049,61418,26253
40998,133468,26269
45486,160415,26276
11789,25915,26285
37953,138129,26311
34701,65605,26312
21515,9155,26313
15251,64199,26326
12503,29061,26334
3878,9173,26368
469,2312,26429
32187,66000,26434
11025,24304,26452
15768,65655,26457
41688,144066,26467
31847,9203,26468
15928,66366,26469
47195,162957,26470
11934,27776,26481
14973,63651,26495
26164,9215,26496
21526,9216,26497
21530,9225,26519
17181,124615,26527
11344,24925,26544
7684,9248,26560
21380,8465,26581
21532,9258,26601
41559,143527,26614
3914,9273,26634
9806,17280,26663
12685,29412,26664
16543,120557,26696
3004,7566,26700
21537,9284,26702
14349,62064,26710
12280,28616,26712
14705,63000,26715
21540,9293,26721
5577,9298,26740
21541,9299,26741
3954,9302,26746
11480,19570,26759
37186,133888,26785
31772,63766,26794
3962,9351,26819
21551,9355,26825
22765,9359,26839
29768,27790,26850
9225,13380,26883
16631,121817,26894
34857,113093,26905
40999,62977,26907
16388,117903,26989
9188,13323,26990
14105,61513,26992
7410,9397,26994
14531,62654,26999
37188,133871,27006
12083,28139,27025
32017,5187,27038
14506,62602,27073
21566,9411,27082
34759,110533,27127
29951,28769,27128
10552,21374,27133
17986,130305,27152
14205,61685,27190
12933,29910,27191
6346,4645,27211
15610,65158,27214
21188,7257,27219
13536,26520,27246
12574,29217,27251
11358,9466,27255
31205,61519,27299
11405,25047,27304
21580,9483,27310
7195,10991,27312
16662,113371,27314
15745,65552,27327
11324,20185,27355
14046,61420,27358
21587,9538,27400
15114,63938,27402
11865,26021,27406
34702,9555,27418
50616,8101,27420
21592,9563,27427
41391,141460,27435
14149,61570,27457
9418,17180,27489
14476,62511,27513
21594,9590,27535
16332,116504,27538
18398,132644,27548
4234,17115,27549
26029,20785,27560
4152,9841,27571
13540,31483,27581
34798,8272,27588
21596,9599,27589
3659,8582,27595
29865,28273,27602
36355,124046,27603
45309,142812,27605
4684,11012,27609
15153,1360,27619
11117,24473,27627
21597,10150,27631
17905,128663,27633
16412,118321,27646
13780,60875,27654
4147,9613,27668
38465,134104,27672
21603,9619,27673
41456,141363,27726
53155,112819,27746
9132,13479,27751
28124,14353,27754
12651,29353,27755
21609,9667,27786
12015,27938,27823
29121,24522,27830
41464,143153,27836
15662,65426,27838
11831,25980,27860
12950,29948,27865
14773,63180,27909
2913,7315,27911
16578,105538,27918
21614,9689,27919
21269,7824,27922
21617,9698,27927
4108,9699,27939
8187,12234,27941
12835,29698,27945
15339,64389,27970
17178,124599,27976
18455,133288,27977
14160,61592,27979
4114,9719,27984
7460,19355,28037
30086,29389,28041
13114,30260,28053
10847,23717,28059
15534,64929,28062
13758,60800,28065
37526,135966,28125
45089,158740,28126
13304,30662,28130
13763,60814,28148
21621,13625,28163
12170,28342,28206
21623,33652,28213
8340,12392,28226
15915,31267,28231
29059,24356,28259
21627,9772,28301
13978,61321,28302
4062,9774,28311
45090,19361,28316
14766,63157,28317
4162,9778,28335
13759,60801,28415
21853,10451,28461
10371,17110,28508
32063,65350,28533
10865,23776,28547
17345,126424,28548
43694,112101,28551
4178,9812,28565
32164,65831,28568
10843,23697,28569
12841,29709,28575
17336,126322,28579
4196,9815,28581
16040,66728,28587
37528,135965,28591
14043,32271,28592
21635,14412,28619
43860,114979,28631
15016,63702,28655
45527,110164,28658
42548,108306,28664
21640,9850,28665
45289,144567,28668
12994,30055,28673
26033,9867,28682
16107,62979,28690
3987,9880,28693
4181,9882,28696
12704,29446,28697
15289,64301,28698
4342,9890,28702
6875,9898,28704
30909,60914,28713
14258,61766,28723
6054,9916,28729
7064,9919,28773
38463,28762,28774
4227,9921,28775
21648,9922,28776
41083,141362,28787
14560,62709,28796
11291,24853,28797
4211,9937,28806
14352,62046,28821
30852,31560,28822
12806,29647,28833
17156,124361,28847
6688,9954,28854
37662,14490,28871
15920,66278,28892
11811,25946,28893
8175,12222,28908
12366,28758,28935
26048,12544,28982
4278,9372,28985
6144,9969,29000
16612,121673,29032
35035,119756,29034
11929,27783,29048
21658,10000,29050
21659,10002,29052
21662,10008,29059
21664,10016,29065
10171,15521,29069
15715,65482,29071
14237,61735,29076
18443,13288,29084
11592,25434,29093
21665,10030,29112
32014,298036,29120
10429,19508,29128
4260,10035,29131
12158,28317,29136
4161,9999,29149
4255,3424,29151
15171,64030,29158
7711,10044,29159
34665,66290,29160
15445,64663,29161
31719,63424,29175
11464,25150,29183
11432,29293,29185
21669,10056,29193
14927,63527,29200
21670,10063,29206
11767,25860,29207
11011,5559,29212
15931,19537,29214
8926,19538,29215
51999,65444,29229
11142,24538,29231
4120,10086,29233
4252,10085,29234
31574,61811,29256
31718,63543,29257
4338,9904,29260
6185,11770,29263
13480,31203,29267
29930,17228,29312
32122,65590,29318
4254,10097,29324
12495,29040,29353
29276,8084,29354
37744,137292,29367
13585,31567,29369
11600,25462,29373
14838,63338,29376
21678,10109,29388
4298,10115,29405
4295,10124,29416
31583,62501,29433
8451,17136,29456
2936,7561,29483
30267,29701,29497
30087,29359,29508
53582,28543,29516
29931,28543,29516
15267,64254,29520
36962,133289,29525
8021,12136,29526
7457,10159,29534
29139,15070,29542
4494,10380,29558
21686,10156,29562
14679,62967,29569
37959,137667,29573
14904,63493,29584
21691,10187,29586
12935,29921,29594
14432,62382,29603
21694,10198,29612
6650,10200,29619
37958,133825,29623
1588,4156,29627
15995,66588,29657
7050,17233,29664
6554,10213,29670
10657,22532,29723
12038,22717,29752
11088,24409,29753
41008,141321,29755
17216,125360,29756
14572,62732,29766
12654,26305,29771
10224,15855,29774
44889,148930,29775
4148,10232,29776
3814,9715,29779
17396,126601,29787
12270,25480,29788
21696,10236,29789
12361,24432,29806
11361,24975,29816
781,13041,29817
40214,140679,29818
15648,65270,29823
15614,64626,29830
13087,30220,29831
21698,10247,29837
30897,60931,29849
13682,31738,29907
15436,64630,29924
30050,29264,29934
27937,14316,29937
13985,61335,29941
15046,63803,29943
29867,28340,29964
37191,133731,29972
20561,3813,29978
13870,61060,29998
41562,143912,30004
21713,10345,30008
29709,25950,30021
4381,10349,30032
4402,10353,30087
8125,12171,30106
7322,10382,30111
21715,14170,30113
7507,10361,30115
30879,31739,30116
10107,15414,30123
21717,10374,30138
11116,24474,30152
50848,10385,30169
4409,10386,30185
21718,10390,30201
21719,10391,30210
38469,138613,30252
36380,126721,30261
21723,10407,30265
5230,10411,30302
4467,10420,30349
12802,29634,30371
21726,10426,30388
30476,30683,30390
21258,7750,30412
36564,34183,30416
4375,10441,30419
31841,10443,30421
21731,10453,30437
16267,113425,30440
20979,5980,30447
31783,62313,30456
21732,10466,30468
4589,24783,30482
10544,21237,30483
30088,29992,30505
21736,10498,30508
21737,10499,30509
57695,10504,30511
21739,10504,30511
12923,29899,30512
21743,10519,30529
27333,3806,30541
8548,12691,30596
17938,115245,30612
4557,10530,30616
9235,13794,30626
41274,142106,30644
21745,10540,30651
28754,15704,30658
6765,10549,30662
4587,10550,30664
21752,10565,30715
15895,66059,30718
21753,13646,30723
4452,10286,30729
15921,66286,30737
21755,13554,30738
21758,10581,30755
21759,10588,30778
12147,28295,30780
14691,62984,30785
15229,64156,30816
21760,10597,30831
8372,12395,30867
14224,61725,30868
8228,17240,30889
35237,122778,30903
21764,10614,30937
4516,10618,30955
29152,15706,30956
6278,10631,30993
4522,10639,31063
13253,30594,31082
12863,29736,31088
15729,65521,31097
14192,61664,31103
32167,65773,31109
8431,12421,31124
14923,63520,31128
21770,14772,31133
26082,23006,31135
10475,20202,31139
4560,10685,31168
41001,141044,31172
11085,11747,31173
22095,15459,31244
35037,119316,31267
21779,10713,31270
12500,29055,31279
16515,120302,31280
20550,3708,31287
12086,28155,31297
10691,22815,31326
15744,192856,31328
21783,10735,31338
56341,24819,31344
15680,65368,31352
13120,30265,31362
12675,29386,31363
17296,125583,31371
31779,63876,31373
43023,15123,31383
17188,124638,31385
5926,17245,31416
1658,4685,31417
39177,139804,31454
14568,62723,31471
12788,29616,31475
38396,14487,31477
16705,122741,31485
31647,62897,31495
12983,30008,31499
16387,117905,31520
38471,138612,31531
4604,10777,31540
26080,10789,31558
4620,10793,31563
21793,10795,31575
37749,136267,31585
30940,61153,31601
37194,133769,31642
16133,111064,31650
11879,26045,31661
12440,28938,31665
16035,65228,31677
4678,10832,31705
4685,10839,31723
6051,10840,31727
14724,63057,31730
841,2620,31756
12461,19713,31761
15907,66102,31767
48780,144809,31769
21810,10867,31786
4703,10868,31787
14996,63687,31793
21786,10757,31811
21814,2504,31815
41393,108664,31822
41564,64228,31828
21835,10999,31833
10563,21503,31835
31907,62243,31838
53766,17266,31849
37502,135969,31853
21838,11017,31855
11522,25274,31857
11960,27828,31860
12553,29156,31863
4655,11032,31865
4721,11027,31878
9237,21423,31884
44293,19817,31886
31749,63669,31889
21842,11038,31893
32127,65676,31894
21798,12726,31898
10070,15240,31918
12546,29150,31921
14675,62954,31931
20867,5763,31938
11435,25088,31973
16067,109929,31979
55487,26061,32019
14845,63863,32027
34843,112759,32036
21795,7017,32067
5705,11051,32070
31780,63847,32076
11981,27886,32077
9213,17248,32080
4643,17252,32105
4690,10902,32106
7267,10903,32107
5137,14815,32109
21820,10906,32111
15108,63927,32128
16068,109831,32134
36383,10920,32137
32191,66065,32144
11393,25020,32146
21826,14369,32154
5203,10981,32157
3772,8947,32158
21832,10983,32161
16587,121440,32166
11923,27199,32204
31933,64344,32214
29464,25021,32218
32066,15247,32237
10360,165179,32251
4818,11861,32254
15431,64602,32256
4761,11094,32263
21856,11096,32279
5974,11099,32289
37389,133547,32295
11005,24234,32299
20071,1417,32315
16446,119216,32374
21859,11115,32375
17984,129849,32384
37195,66686,32389
37964,125000,32391
15179,64054,32408
21100,13963,32416
20976,5918,32419
13447,11124,32422
14851,63385,32448
10302,110179,32450
15940,66368,32498
12656,29356,32504
14027,61401,32506
20288,2136,32507
11616,25731,32513
14822,63281,32523
11042,24344,32537
16407,118228,32542
21866,13714,32587
20851,160785,32588
15199,64088,32601
42428,145854,32604
12005,35632,32614
10545,21238,32622
7378,11169,32646
16418,118445,32672
15124,63959,32673
4815,11178,32688
38042,22974,32716
13935,61167,32719
38474,138346,32724
15675,62472,32736
23211,11188,32738
42653,65483,32739
37534,134308,32750
15155,64004,32751
21869,11191,32774
11851,65218,32781
20842,12321,32799
39181,64767,32818
10741,23088,32820
32038,65072,32822
11247,24803,32831
17126,123937,32832
14028,61402,32879
4825,11213,32913
21874,11220,32928
15095,63928,32939
21876,11228,32979
37196,133732,32984
34627,66354,32988
29327,24720,32998
13225,30536,33006
34707,66599,33008
21881,11264,33026
21880,11259,33046
24345,13990,33073
16173,111976,33095
5679,17145,33097
21888,11300,33103
21889,11301,33104
9239,19873,33106
9804,14477,33114
16686,122447,33122
36385,126722,33126
31208,61574,33136
5013,11310,33137
21893,11313,33143
8508,12445,33148
4987,11315,33149
12221,28490,33163
37967,134164,33205
16907,9240,33206
17969,130049,33213
18696,133432,33218
45568,140050,33219
8810,17150,33221
5869,14252,33234
21899,11340,33240
21900,11343,33244
21901,11351,33253
21305,8007,33264
32016,64850,33269
8317,12266,33289
9147,17151,33291
21904,11371,33293
35057,120444,33294
43261,63725,33300
10519,17780,33303
12599,29268,33311
4998,11376,33314
14573,62733,33323
2253,14253,33327
13360,19891,33332
34715,109079,33336
8145,14131,33337
14179,61646,33342
42533,146607,33367
4879,11399,33382
22139,18705,33383
16679,64748,33390
53078,108831,33401
21913,11446,33407
4905,11455,33417
21914,11456,33418
21916,11465,33437
20326,2345,33443
26508,11482,33456
11310,24893,33459
56283,11462,33461
16113,62057,33473
53826,128121,33485
44919,19907,33486
15065,63848,33489
13302,30666,33499
10347,19911,33511
5837,11508,33514
6149,11511,33516
14958,63596,33519
16360,116906,33524
4923,11513,33526
16321,64218,33532
39150,140073,33535
15494,64820,33538
12084,28145,33550
21926,11535,33573
21927,11537,33575
13116,30261,33579
11157,24610,33603
14515,62613,33605
17960,129850,33618
38477,138943,33622
21935,11566,33655
4883,11573,33662
27497,11580,33666
11225,24725,33686
14026,61403,33689
8526,12471,33699
15222,64132,33703
5009,11600,33760
21932,11555,33763
8766,17132,33779
12618,29300,33798
21031,6331,33823
14252,28775,33826
45438,142096,33844
21945,11636,33850
9264,13443,33851
10634,22325,33857
8254,12252,33873
14521,62634,33915
13766,60823,33941
5037,11649,33954
9607,14382,33974
29124,13135,33983
27610,11657,33985
15804,65771,34002
52950,66261,34009
21948,11670,34048
11092,24405,34075
5058,13597,34096
32134,23387,34117
44633,28071,34123
10341,16488,34132
41870,144559,34134
5057,11687,34139
10358,16531,34144
52839,178806,34146
11620,25579,34151
12040,27988,34156
14768,63154,34157
14235,61737,34167
6698,11694,34211
42788,145228,34213
13528,31462,36730
56249,147175,39594
45176,264395,40757
46282,149337,42640
32039,65108,44349
55714,14390,46263
44494,174160,47547
13691,24363,50196
50841,116104,50377
44621,63139,51961
51204,166208,54487
54711,38664,55119
52304,177125,55421
52388,177088,55498
46091,162254,55772
50600,25999,57738
10110,15252,59475
53713,293754,66112
46000,141389,66210
44292,150306,66710
46863,160950,66869
55390,254381,67941
43346,148410,69432
45288,157855,69444
43163,147638,70005
44380,137090,71573
43688,135788,73200
51111,174648,74414
55127,22330,75504
32093,65417,77014
29028,23978,77289
10841,23700,77823
12929,29909,77826
52396,177376,78171
44878,157635,79255
45484,160374,80578
43159,148950,80987
44115,148390,81913
29231,23587,82104
42997,147305,82239
45196,264391,82240
23285,24293,82544
46553,162733,82823
50184,165914,82918
43149,147242,83163
21495,8987,84231
43520,150699,86176
29526,25627,88771
53008,179577,90107
45379,160211,90132
