PERMCO,GVKEY,companyid
20262,2008,3483
40983,140983,3500
606,1998,3503
6627,16681,3513
14091,61487,3541
592,2034,3548
29955,28924,3593
20270,2049,3594
20271,2052,3599
9252,13365,3607
12197,28410,3615
20065,2055,3618
676,2080,3652
20277,2086,3684
8164,174114,3690
50468,29135,3709
4163,11856,3718
17970,129823,3884
30251,29755,3897
16158,111662,3898
21965,15106,3902
20284,2111,3903
11558,25338,3904
20954,12125,3908
6653,2124,3946
12202,28435,3969
20290,2146,3977
5223,2150,3983
29128,20243,3991
26087,23084,4002
5977,2163,4013
15302,17405,4024
9674,14285,4027
7585,120193,4079
540,2176,4080
37659,137351,4081
20300,2193,4160
50828,31659,4165
20505,12123,4262
16230,112752,4300
11582,25396,4307
655,2220,4311
8958,13013,4313
15849,65905,4317
12902,29837,4327
44385,118733,4330
26270,14395,4342
45058,31177,4343
11801,23291,4345
16668,122257,4354
5737,2230,4363
11210,20245,4365
8563,12576,4388
12952,29955,4427
15962,66610,4447
11418,25080,4459
15092,63895,4465
53105,62972,4495
3151,7647,4504
7070,16679,4513
43264,15582,4521
20306,2255,4556
11855,26012,4558
511,2259,4560
36336,124434,4584
21276,7853,4606
20310,2271,4631
16177,111960,4663
15476,64851,4672
7869,11877,4675
30401,30219,4686
595,2282,4715
15134,63976,4719
20315,2285,4730
20316,2290,4748
603,2295,4768
34624,25655,4823
29936,28742,4839
10430,14268,4840
14731,63070,4858
6520,5336,4861
12848,29211,4862
31991,64925,4863
29489,25279,4865
29761,27826,4880
44602,12719,4897
614,2342,4901
20327,2346,4906
29992,29011,4912
31754,63896,4915
11198,24689,4968
7113,2352,4972
21107,13562,5006
32056,2369,5011
644,2390,5086
15465,64741,5090
12978,30006,5094
6760,3007,5104
20331,2403,5118
15045,63799,5155
16056,66708,5168
14283,61815,5172
20448,3036,5176
16546,120774,5178
35152,16423,5190
16026,105670,5191
13539,31477,5192
3624,15417,5204
20342,2436,5207
20340,2435,5210
38406,138483,5218
20344,2444,5227
20345,2448,5229
7676,16698,5233
17210,125274,5246
35040,119893,5265
20346,13526,5272
31191,61596,5273
11506,25234,5276
42007,144435,5320
20350,2490,5337
6058,2484,5338
15926,65958,5421
20374,2593,5462
37148,133726,5464
26024,20548,5465
398,2595,5470
727,2596,5472
9245,13421,5480
7556,12964,5484
6362,2602,5485
14818,63268,5486
15563,65006,5506
737,64275,5507
9221,13406,5531
9096,13289,5535
6689,2615,5536
8681,12677,5546
38411,138321,5547
1222,2628,5549
17522,127455,5553
29432,24978,5557
13311,15060,5561
31726,63605,5570
9478,13828,5582
27915,14077,5585
9526,13839,5587
13496,31276,5596
32101,65548,5598
29911,28629,5599
20384,2663,5620
41990,2698,5627
29148,15581,5636
8290,12390,5654
10467,20204,5656
904,2942,5676
13273,31099,5678
7990,12139,5684
15975,66452,5710
15901,65133,5712
15307,20109,5716
30513,30990,5734
32102,65732,5744
1167,20029,5745
16280,105805,5748
20378,20791,5749
16457,119414,5759
58776,28069,5771
37707,137373,5772
13460,31143,5775
16213,112626,5810
6262,2751,5811
15934,66379,5827
13582,31549,5831
8646,12669,5860
20394,13498,5867
43783,65713,5872
20398,2787,5880
29750,27792,5884
16120,110721,5890
14888,63456,5892
16247,112874,5895
15633,65220,5898
13085,17815,5900
13396,30857,5954
12784,29613,5962
755,2802,5963
11702,25719,5964
20403,2803,5966
15783,65702,5970
6515,2807,5971
8920,13032,5973
14781,25201,5998
20406,14660,6016
5812,12688,6018
9222,13381,6028
29450,25099,6037
12124,28249,6040
41055,141241,6041
16403,113361,6043
50495,166747,6044
20408,2817,6052
10805,23500,6053
41056,141397,6066
8102,12047,6070
16014,66672,6071
5169,3570,6097
21866,13714,6098
37900,15055,6130
6617,12711,6162
34775,112158,6175
9374,13599,6177
11915,27747,6178
37489,2990,6209
6391,3278,6237
30961,61404,6251
20419,14661,6253
42540,145552,6261
11229,24747,6265
14751,17724,6267
20939,5742,6271
30065,29316,6272
41269,142088,6275
20413,2845,6277
37512,135945,6278
17928,129419,6283
8665,16785,6288
