Episode,Title,Director,Written By,Aired,Viewers (in M)
52,Home,Jeremy Podeswa,Dave Hill,"May 1, 2016",7.29
53,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016",7.28
54,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016",7.82
55,The Door,Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016",7.89
56,Blood of My Blood,Jack Bender,Bryan Cogman,"May 29, 2016",6.71
57,The Broken Man,Mark Mylod,Bryan Cogman,"June 5, 2016",7.80
58,No One,Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016",7.60
59,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016",7.66
60,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016",8.89
61,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017",10.11
62,Stormborn,Mark Mylod,Bryan Cogman,"July 23, 2017",9.27
63,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017",9.25
64,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017",10.17
65,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017",10.72
66,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017",10.24
67,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017",12.07
68,Winterfell,David Nutter,Dave Hill,"April 14, 2019",11.76
69,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,"April 21, 2019",10.29
70,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019",12.02
71,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,"May 5, 2019",11.80
72,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019",12.48
73,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019",13.61
