CRSP_PERMCO,Compustat_GVKEY,BoardEx_boardID,TICKER,RP_entityID
14726,063051,2191,ADRX,NaN
7623,001878,3118,ADSK,64E346
17523,124934,824,ADST,2FCAEF
55776,016648,2538359,ADSW,NaN
13252,030576,829,ADTN,9E98F2
57108,035958,3208232,ADTX,5D57A9
53242,183283,1590331,ADUS,7C790D
56823,031803,3059116,ADV,2CA6AA
7801,012108,909,ADVBQ,NaN
5260,001167,909,ADVBQ,NaN
54946,021020,2129671,ADVM,DF18E6
7801,012108,909,ADVNQ,NaN
5260,001167,909,ADVNQ,NaN
14129,061557,923,ADVS,NaN
45991,161037,572866,ADZA,NaN
46013,161067,463934,AEA,NaN
57709,037743,3328665,AEACU,0D42ED
30023,029164,2822,AEC,22A568
21808,010860,1976,AEE,789A7D
14163,061594,1976,AEE,789A7D
2366,005978,16156,AEGN,NaN
53532,177313,1669156,AEGR,NaN
58705,039573,3449129,AEHAU,NaN
15658,065286,951,AEHR,3209B9
14143,061562,864,AEIS,1D943E
15674,065345,1774,AEK,NaN
26174,001186,1072,AEM,9B42DD
55344,027983,2305713,AEMD,BA7461
11265,024792,31386,AEMI,NaN
57851,037749,3659277,AENT,NaN
13001,030059,1802,AEO,2CC60C
57965,037857,3343588,AEON,NaN
7975,011903,959,AEPI,NaN
11435,025088,31973,AERG,3D4EB6
54601,018749,2000812,AERI,2082EA
59502,041981,3622388,AESI,NaN
41072,001177,989,AET,NaN
20026,001177,989,AET,NaN
57014,038357,3157625,AEVA,F5117C
56512,017754,2909828,AEYE,9FD634
46664,140757,9634,AEZ,NaN
58917,038442,3473633,AFACU,NaN
8780,013800,1558,AFAM,NaN
58074,038186,3369227,AFAQU,F2BB2A
55915,029499,2717020,AFBI,4EC2A0
14998,063678,920,AFCI,NaN
45414,160181,599186,AFFMQ,NaN
14700,062990,1011,AFFX,NaN
51545,176237,461239,AFFY,D1F6A4
21372,008431,1822,AFG,7286BE
54328,186230,1886379,AFHIF,B040DB
55529,026343,2436910,AFIIQ,NaN
92,001449,1017,AFL,AD3C93
40978,141236,1452,AFOP,NaN
57669,037413,3328570,AFRM,4B65EE
51439,166005,621698,AFSI,NaN
58633,039188,3435260,AFTR,NaN
58633,039188,3435260,AFTR.U,NaN
53608,108768,1203976,AG,21A365
116,001837,1069,AG5,NaN
56090,035552,2712781,AGAE,NaN
53243,180279,1589812,AGAM,NaN
57883,037982,3356093,AGAUF,NaN
57696,037561,3324826,AGCB,0F128F
57422,036965,3324826,AGCB,0F128F
11473,025180,1044,AGCO,BBBB41
20634,004230,10157,AGE,81A17F
17936,129466,2278,AGEN,6810DE
55405,025654,2044205,AGFS,232053
54731,019525,2044205,AGFS,232053
57710,037896,3336617,AGFY,45135E
58076,037975,3363030,AGGRU,169256
54315,123455,933562,AGI,86ACF2
8727,015364,2542,AGII,NaN
16864,123094,1059,AGIL,19C251
56974,039490,3127219,AGILQ,NaN
54476,018159,1967527,AGIO,451D61
38400,138641,2906,AGIXQ,NaN
28392,015153,11644,AGM.A,NaN
22092,015708,1426,AGN,21153F
53021,179889,1066214,AGNC,728737
4897,011361,33268,AGNUQ,NaN
45077,157955,502210,AGO,FAAE77
42386,145367,2030,AGP,NaN
41358,141845,1050,AGR.B,NaN
58545,037547,3419372,AGRI,53ACB9
54777,019967,2057471,AGTC,F58C23
5130,008832,577415,AGX,0BA2EF
11967,027842,2546,AGY,NaN
3580,008599,491487,AGYS,773A17
