CUSIP,CRSP_PERMCO,TICKER,Compustat_GVKEY,BoardEx_boardID,RP_entityID
10104410,55982,BOC,027977,2670446,
86037210,4120,SISC,010086,29233,
39153L10,39150,GB,140073,33535,
14040H10,30513,COF,030990,5734,
G0074810,57358,STWO,039875,3268834,
Q6519V14,56389,CENN,033706,2380040,
38046W20,57139,GOCO,036635,3234736,
97785210,11946,WOLF,027794,8220,
11434010,13539,AZTA,031477,5192,
05153U10,58829,AURA,039872,3469795,
62907010,57645,NEBC,039377,3310339,
48815220,2519,KELYA,006379,17781,
19626G10,54879,CLNY,183603,2121211,
65528N20,58604,NOGN,038416,3429364,
38101310,16368,GDEN,117036,18381,
53630X20,54787,LPCN,018424,2063103,
02376R10,20010,AAL,001045,2021732,
35088F10,59514,FORL,042219,3625314,
75989R10,58680,RNXT,039411,3441250,
82443010,58481,SHFS,038935,3411631,
05150X10,15236,DPW,064163,9261,
23323G10,7978,DGSE,012096,9137,
20341J10,55220,CSAL,023077,2240012,
22904910,10390,CMSI,017199,8339,
86211010,4289,SEQ,010096,25380,
55303J10,9977,MGPI,014891,20663,
Q6519V12,56389,NAKD,033706,2380040,
35953C10,59336,FIP,041416,3553678,
92640010,58512,VSCO,039310,3431821,
21077C30,57666,WISH,345980,3314590,
20016610,20203,PMA,003221,2297,
01448510,44990,AFN,175674,660191,
76169B10,54014,RXN,180474,1809776,
00887530,682,AIKI,018738,28834,
88870520,58986,TIVC,039618,3474139,
64582720,59241,IDR,066246,3516149,
57064N10,57220,MKFG,039250,3250780,
63633F10,9848,NHLI,014960,18319,
29109X10,59277,AZPN,030870,1649258,
85512C10,14237,SGASZ,061735,29076,
35952310,12390,FTEKF,028819,12602,
64097910,59662,NMRA,043287,3684127,
36325610,52971,RXII,032901,934303,
40431N20,44117,HSWI,178494,1004151,
60411010,21206,MPL,007437,1431,
84863T10,45886,SPOK,024844,550862,
45257F20,57636,IPA,030449,1192673,
00739D10,57956,ADTH,037949,3355953,
83420330,55104,SLNO,020898,2168600,
64754V10,15244,NWMO,026922,3387532,
39762410,27374,GBCOA,005338,13891,
49721T30,55355,KPRX,021282,2316952,
31620R10,47864,FNT,165264,916730,
74623710,57576,PRTC,319917,2298387,
48668E10,51557,KCAP,176256,951624,
41969510,589,HWBN,002005,253576,
02364V20,30985,GHI,016641,420478,
28035Q10,36954,EPC,133367,10651,
G9666610,41694,WSH,144009,33518,
05276910,7623,ACAD,001878,3118,
58406640,10238,MDCR,015824,3258197,
G4365A10,59130,HCMA,040124,3499737,
45666210,14568,INFO,062723,31471,
G5280710,57948,QDRO,037911,3350234,
83422N10,58087,SLDP,038094,3371830,
10483330,58646,BRAG,031006,1724354,
03890D10,54797,ARAV,019832,2056204,
70532410,13979,PEDX,061325,24025,
83549510,4196,SONO,009815,28581,
G3156P10,20015,ASA,001062,550880,
82924210,13758,SBGI,060800,28065,
02157G10,59171,ALCE,040293,3511972,
36467W10,42775,GME,145049,734294,
34380C10,52838,FLNT,183799,1601752,
87600U10,46681,TRE,026914,916853,
85915210,11547,STRL,025313,29202,
44106M10,30932,HPT,061188,15086,
46116V10,12949,INTL,031521,732161,
58406B20,54965,MDVL,037396,2123613,
89026085,54516,TNXP,190856,1971668,
87156510,21696,SYO,010236,29789,
55955D10,54813,MGNI,019753,2058567,
38465810,2004,GRAH,005254,13720,
75946W30,57970,RELI,022318,3346129,
29642410,59590,ESHA,042970,3653661,
96812F10,59469,BAER,037025,3333449,
25525P10,36355,DHC,124046,27603,
18453L10,58554,CLAQ,039240,3422340,
84921J10,58892,SMAP,039789,3464199,
05463X10,8839,AXGN,190355,1971670,
29843R10,53969,EMXX,107350,896939,
03945R10,57377,ACHR,040092,3290414,
19983610,26126,COMT,179454,3529740,
G7947110,58815,SEDA,038363,3470081,
35952H10,11591,FCL,025430,12600,
44891N20,11901,IAC,036691,3230062,
55826T10,57056,SPHR,036309,3188682,
60855020,46285,MTEM,032267,566156,
36322520,54027,GALT,150221,1808898,
38732810,10561,GCCO,021429,13769,
23282W60,45082,CYTK,158563,138612,
50077B20,17314,KTOS,126056,33597,
10549P60,32056,BNN,002369,5011,
64083J10,56040,NSCO,035490,2691304,
56357110,2767,MANT,006994,19580,
68287N10,37195,OSPN,066686,32389,
60017910,15244,MILB,026922,3387532,
29272C20,54798,WATT,019977,2057832,
26660550,39159,DRRX,140044,9764,
05492W10,57334,BCTG,039402,3260095,
31993610,8889,FFPR,016821,30,
16965610,50184,CMG,165914,82918,
20607V10,59000,CNDB,039903,3472312,
88338N20,54369,TXMD,183322,1947734,
09065V20,44505,BPA,018204,4391,
53118A10,58957,LIBY,039586,3472274,
76137R10,59096,RCAC,040332,3488203,
93932210,5849,WAMU,013888,2344850,
61559X10,57442,MLTX,037240,3181143,
82621J20,55084,SIEN,022037,2161052,
98907K10,57584,ZNTE,037373,3298961,
83186520,21625,SMC,009771,28304,
25382T20,52918,DGLY,162233,735966,
02083E20,58824,ALPP,029531,2121310,
44216110,20939,HOU,005742,6271,
86063010,6185,STFL,011770,29263,
76051610,10594,RWIN,009063,3143,
86608210,53670,INN,185396,1687120,
81685010,21596,SMH,009599,27589,
92930510,4980,WPH,011554,1476,
23834J20,58048,DAVE,037961,3360099,
88644410,21752,TMS,010565,30715,
91688R10,53054,URG,165637,912623,
60783X10,44290,MODV,154758,488319,
G1144A10,56295,BTBT,032878,2795876,
09069410,3133,BOTA,033114,21450,
30224510,20950,XTC,027914,15207,
97681710,10684,WPCI,022817,11680,
45605310,34783,IDS,061971,665173,
09066210,682,BSPR,018738,28834,
12430A10,57727,BZFD,037610,3327525,
23282G10,14092,CYPH,061490,11369,
15115730,6992,CELT,002829,26180,
G7002110,58880,PEPL,039764,3463370,
